combination,threshold,weight,denominator,numerator_mass,declared_mass,settled_mass,share_of_declared,share_of_settled,abstained_share,eligible_for_extrema
code_order_median_low,2,one_task_one_vote,whole_corpus,6516.0,18796.0,18796.0,0.3466695041498191,0.3466695041498191,0.0,True
code_order_median_low,2,one_task_one_vote,screen_only,5825.0,8990.0,8990.0,0.6479421579532815,0.6479421579532815,0.0,True
code_order_median_low,2,one_task_one_vote,screen_and_mixed,6121.0,10331.0,10331.0,0.5924886264640402,0.5924886264640402,0.0,True
code_order_median_low,2,onet_importance,whole_corpus,23782.040000000008,71681.99999999988,71681.99999999988,0.3317714349488023,0.3317714349488023,0.0,True
code_order_median_low,2,onet_importance,screen_only,21223.45000000001,33262.049999999996,33262.049999999996,0.638068008436041,0.638068008436041,0.0,True
code_order_median_low,2,onet_importance,screen_and_mixed,22373.750000000007,38601.74000000001,38601.74000000001,0.5796047017569674,0.5796047017569674,0.0,True
code_order_median_low,2,russian_employment,whole_corpus,0.28026284024574966,0.8923385417284052,0.8923385417284052,0.3140768073324477,0.3140768073324477,0.0,True
code_order_median_low,2,russian_employment,screen_only,0.2506813913205212,0.39106560554249964,0.39106560554249964,0.6410213216597439,0.6410213216597439,0.0,True
code_order_median_low,2,russian_employment,screen_and_mixed,0.2639139469695215,0.4527023914672119,0.4527023914672119,0.5829744926113033,0.5829744926113033,0.0,True
code_order_median_low,3,one_task_one_vote,whole_corpus,3153.0,18796.0,18796.0,0.16774845711853587,0.16774845711853587,0.0,True
code_order_median_low,3,one_task_one_vote,screen_only,2896.0,8990.0,8990.0,0.3221357063403782,0.3221357063403782,0.0,True
code_order_median_low,3,one_task_one_vote,screen_and_mixed,3011.0,10331.0,10331.0,0.2914529087213242,0.2914529087213242,0.0,True
code_order_median_low,3,onet_importance,whole_corpus,11321.760000000006,71681.99999999988,71681.99999999988,0.15794425378756208,0.15794425378756208,0.0,True
code_order_median_low,3,onet_importance,screen_only,10363.970000000005,33262.049999999996,33262.049999999996,0.3115854254322871,0.3115854254322871,0.0,True
code_order_median_low,3,onet_importance,screen_and_mixed,10812.150000000005,38601.74000000001,38601.74000000001,0.2800948869144241,0.2800948869144241,0.0,True
code_order_median_low,3,russian_employment,whole_corpus,0.14198440641034427,0.8923385417284052,0.8923385417284052,0.1591149544379526,0.1591149544379526,0.0,True
code_order_median_low,3,russian_employment,screen_only,0.12995837786516062,0.39106560554249964,0.39106560554249964,0.33231860849761485,0.33231860849761485,0.0,True
code_order_median_low,3,russian_employment,screen_and_mixed,0.1355505520401617,0.4527023914672119,0.4527023914672119,0.29942530588548766,0.29942530588548766,0.0,True
code_order_median_low,4,one_task_one_vote,whole_corpus,125.0,18796.0,18796.0,0.006650351138540115,0.006650351138540115,0.0,True
code_order_median_low,4,one_task_one_vote,screen_only,119.0,8990.0,8990.0,0.013236929922135706,0.013236929922135706,0.0,True
code_order_median_low,4,one_task_one_vote,screen_and_mixed,124.0,10331.0,10331.0,0.012002710289420192,0.012002710289420192,0.0,True
code_order_median_low,4,onet_importance,whole_corpus,457.62999999999994,71681.99999999988,71681.99999999988,0.0063841689684997725,0.0063841689684997725,0.0,True
code_order_median_low,4,onet_importance,screen_only,437.14000000000004,33262.049999999996,33262.049999999996,0.013142304818855125,0.013142304818855125,0.0,True
code_order_median_low,4,onet_importance,screen_and_mixed,453.09,38601.74000000001,38601.74000000001,0.011737553799388314,0.011737553799388314,0.0,True
code_order_median_low,4,russian_employment,whole_corpus,0.005478782842897124,0.8923385417284052,0.8923385417284052,0.006139802985854513,0.006139802985854513,0.0,True
code_order_median_low,4,russian_employment,screen_only,0.005256508987416807,0.39106560554249964,0.39106560554249964,0.013441501663447998,0.013441501663447998,0.0,True
code_order_median_low,4,russian_employment,screen_and_mixed,0.005462363959918401,0.4527023914672119,0.4527023914672119,0.012066125699523781,0.012066125699523781,0.0,True
code_order_maximum,2,one_task_one_vote,whole_corpus,8500.0,18796.0,18796.0,0.45222387742072784,0.45222387742072784,0.0,True
code_order_maximum,2,one_task_one_vote,screen_only,7069.0,8990.0,8990.0,0.7863181312569522,0.7863181312569522,0.0,True
code_order_maximum,2,one_task_one_vote,screen_and_mixed,7662.0,10331.0,10331.0,0.7416513406253025,0.7416513406253025,0.0,True
code_order_maximum,2,onet_importance,whole_corpus,31256.060000000005,71681.99999999988,71681.99999999988,0.4360377779637853,0.4360377779637853,0.0,True
code_order_maximum,2,onet_importance,screen_only,25866.79000000001,33262.049999999996,33262.049999999996,0.7776667403241837,0.7776667403241837,0.0,True
